Doy,Rain,dt,Temp,Radiation,Relative Humidity,Wind,lat,long,elev,height,irr
211.5,0.128,0.01,29.5,381.5065556,76.3,5.9,14.24,102.69,295,2.5,0
211.51,0,0.01,29.97777778,501.1984444,75.83333333,5.022222222,14.24,102.69,295,2.5,0
211.52,0,0.01,29.88888889,379.7531111,76.27777778,5.266666667,14.24,102.69,295,2.5,0
211.53,0.064,0.01,30.23333333,540.2544444,74.51111111,4.355555556,14.24,102.69,295,2.5,0
211.54,0,0.01,30.16666667,358.5844444,74.18888889,4.366666667,14.24,102.69,295,2.5,0
211.55,0,0.01,29.76666667,228.9695556,76.86666667,4.111111111,14.24,102.69,295,2.5,0
211.56,0,0.01,29.7,250.955,77.07777778,4.533333333,14.24,102.69,295,2.5,0
211.57,0,0.01,30.06666667,330.1892222,76.32222222,4.933333333,14.24,102.69,295,2.5,0
211.58,0,0.01,30.68333333,510.2318333,74.1,4.35,14.24,102.69,295,2.5,0
211.59,0,0.01,30.62222222,312.5448889,74.52222222,3.388888889,14.24,102.69,295,2.5,0
211.6,3.072,0.01,29.73333333,182.7141111,75.81111111,4.133333333,14.24,102.69,295,2.5,0
211.61,3.136,0.01,28.46666667,267.2041111,78.22222222,4.411111111,14.24,102.69,295,2.5,0
211.62,0.128,0.01,28.47777778,208.8866667,79.01111111,3.666666667,14.24,102.69,295,2.5,0
211.63,0.256,0.01,28.14444444,179.119,79.84444444,5.244444444,14.24,102.69,295,2.5,0
211.64,0.256,0.01,28.13333333,194.3601111,79.91111111,3.777777778,14.24,102.69,295,2.5,0
211.65,0,0.01,28.42222222,209.1964444,79.42222222,4.5,14.24,102.69,295,2.5,0
211.66,0,0.01,28.18333333,157.835,80.3,4.75,14.24,102.69,295,2.5,0
211.67,0,0.01,28.43333333,195.6178889,80.2,3.822222222,14.24,102.69,295,2.5,0
211.68,0,0.01,28.23333333,136.9868889,80.42222222,3.911111111,14.24,102.69,295,2.5,0
