"day","Yeild","irr"
"0","0.0","0.0"
"1","0.0","0.0"
"2","0.0","0.0"
"3","0.0","0.0"
"4","0.0","0.0"
"5","0.0","0.0"
"6","0.0","0.0"
"7","0.0","37.973333333333365"
"8","0.0","37.973333333333365"
"9","0.0","37.973333333333365"
"10","0.0","37.973333333333365"
"11","0.0","37.973333333333365"
"12","0.0","37.973333333333365"
"13","0.0","37.973333333333365"
"14","0.0","37.973333333333365"
"15","0.0","37.973333333333365"
"16","0.0","37.973333333333365"
"17","0.0","37.973333333333365"
"18","0.0","37.973333333333365"
"19","0.0","37.973333333333365"
"20","0.0","37.973333333333365"
"21","0.0","72.32000000000006"
"22","0.0","75.94666666666673"
"23","0.0","75.94666666666673"
"24","0.0","75.94666666666673"
"25","0.0","75.94666666666673"
"26","0.0","75.94666666666673"
"27","0.0","75.94666666666673"
"28","0.0","75.94666666666673"
"29","0.0","75.94666666666673"
"30","0.0","113.49333333333344"
"31","0.0","113.49333333333344"
"32","0.0","113.49333333333344"
"33","9.500696383836399E-4","113.49333333333344"
"34","0.01363412862783963","113.49333333333344"
"35","0.054726623893301324","113.49333333333344"
"36","0.14116070485887855","113.49333333333344"
"37","0.2899156039109532","113.49333333333344"
"38","0.5184285383802909","113.49333333333344"
"39","0.8429886876829058","151.04000000000013"
"40","1.2807496259497537","151.04000000000013"
"41","1.8491796431773644","151.04000000000013"
"42","2.5627253623295703","151.04000000000013"
"43","3.4385919538789764","151.04000000000013"
"44","4.501503847063043","151.04000000000013"
"45","5.761518275996362","151.04000000000013"
"46","7.25484445597728","151.04000000000013"
"47","8.966718210602963","151.04000000000013"
"48","10.936900333630774","189.0133333333335"
"49","13.1641250091546","189.0133333333335"
"50","15.674803641516348","189.0133333333335"
"51","18.505351722488797","189.0133333333335"
"52","21.653549562047292","189.0133333333335"
"53","25.117290667950023","189.0133333333335"
"54","28.936809121506595","189.0133333333335"
"55","33.13659525861527","226.5600000000002"
"56","37.73392893034657","226.5600000000002"
"57","42.72979462211142","226.5600000000002"
"58","48.12898908395317","226.5600000000002"
"59","53.94610944121466","226.5600000000002"
"60","60.18971085112036","226.5600000000002"
"61","66.90623130533426","264.1066666666667"
"62","74.12011993833518","264.1066666666667"
"63","81.84640726420832","264.1066666666667"
"64","90.09913064360809","264.1066666666667"
"65","98.87787046985345","264.1066666666667"
"66","108.2209245138519","264.1066666666667"
"67","118.12723495871339","264.1066666666667"
"68","128.59662618411576","264.1066666666667"
"69","139.65048972909997","264.1066666666667"
"70","151.3669564276232","301.6533333333325"
"71","163.85931649174987","301.6533333333325"
"72","176.78450106038127","301.6533333333325"
"73","190.41428838984888","301.6533333333325"
"74","204.77773433353605","301.6533333333325"
"75","219.79852317193073","301.6533333333325"
"76","235.54356889728","301.6533333333325"
"77","252.05380377866578","301.6533333333325"
"78","269.22924930221984","301.6533333333325"
"79","287.30637509425134","301.6533333333325"
"80","306.16288916531363","321.91999999999877"
"81","325.6446626910112","339.6266666666651"
"82","345.45452182571097","339.6266666666651"
"83","365.23181411782144","339.6266666666651"
"84","387.3179462892145","339.6266666666651"
"85","410.21465822883926","339.6266666666651"
"86","433.8260546299711","339.6266666666651"
"87","458.5879425035891","339.6266666666651"
"88","484.1634672644747","339.6266666666651"
"89","510.68407168824746","339.6266666666651"
"90","0.0","0.0"
"91","0.0","0.0"
"92","0.0","0.0"
"93","0.0","0.0"
"94","0.0","0.0"
"95","0.0","0.0"
"96","0.0","0.0"
"97","0.0","0.0"
"98","0.0","0.0"
"99","0.0","0.0"
"100","0.0","0.0"
"101","0.0","0.0"
"102","0.0","0.0"
"103","0.0","0.0"
"104","0.0","0.0"
"105","0.0","0.0"
"106","0.0","0.0"
"107","0.0","0.0"
"108","0.0","0.0"
"109","0.0","0.0"
"110","0.0","0.0"
"111","0.0","0.0"
"112","0.0","0.0"
"113","0.0","0.0"
"114","0.0","0.0"
"115","0.0","0.0"
"116","0.0","0.0"
"117","0.0","0.0"
"118","0.0","0.0"
"119","0.0","0.0"
"120","0.0","0.0"
"121","0.0","0.0"
"122","0.0","0.0"
"123","0.0","0.0"
"124","0.0","0.0"
"125","0.0","0.0"
"126","0.0","0.0"
"127","0.0","0.0"
"128","0.0","0.0"
"129","0.0","0.0"
"130","0.0","0.0"
"131","0.0","0.0"
"132","0.0","0.0"
"133","0.0","0.0"
"134","0.0","0.0"
"135","0.0","0.0"
"136","0.0","0.0"
"137","0.0","0.0"
"138","0.0","0.0"
"139","0.0","0.0"
"140","0.0","0.0"
"141","0.0","0.0"
"142","0.0","0.0"
"143","0.0","0.0"
"144","0.0","0.0"
"145","0.0","0.0"
"146","0.0","0.0"
"147","0.0","0.0"
"148","0.0","0.0"
"149","0.0","0.0"
"150","0.0","0.0"
"151","0.0","0.0"
"152","0.0","0.0"
"153","0.0","0.0"
"154","0.0","0.0"
"155","0.0","0.0"
"156","0.0","0.0"
"157","0.0","0.0"
"158","0.0","0.0"
"159","0.0","0.0"
"160","0.0","0.0"
"161","0.0","0.0"
"162","0.0","0.0"
"163","0.0","0.0"
"164","0.0","0.0"
"165","0.0","0.0"
"166","0.0","0.0"
"167","0.0","0.0"
"168","0.0","0.0"
"169","0.0","0.0"
"170","0.0","0.0"
"171","0.0","0.0"
"172","0.0","0.0"
"173","0.0","0.0"
"174","0.0","0.0"
"175","0.0","0.0"
"176","0.0","0.0"
"177","0.0","0.0"
"178","0.0","0.0"
"179","0.0","0.0"
"180","0.0","0.0"
"181","0.0","0.0"
"182","0.0","0.0"
"183","0.0","0.0"
"184","0.0","0.0"
"185","0.0","0.0"
"186","0.0","0.0"
"187","0.0","0.0"
"188","0.0","0.0"
"189","0.0","0.0"
"190","0.0","0.0"
"191","0.0","0.0"
"192","0.0","0.0"
"193","0.0","0.0"
"194","0.0","0.0"
"195","0.0","0.0"
"196","0.0","0.0"
"197","0.0","0.0"
"198","0.0","0.0"
"199","0.0","0.0"
"200","0.0","0.0"
"201","0.0","0.0"
"202","0.0","0.0"
"203","0.0","0.0"
"204","0.0","0.0"
"205","0.0","0.0"
"206","0.0","0.0"
"207","0.0","0.0"
"208","0.0","0.0"
"209","0.0","0.0"
"210","0.0","0.0"
"211","0.0","0.0"
"212","0.0","0.0"
"213","0.0","0.0"
"214","0.0","0.0"
"215","0.0","0.0"
"216","0.0","0.0"
"217","0.0","0.0"
"218","0.0","0.0"
"219","0.0","0.0"
"220","0.0","0.0"
"221","0.0","0.0"
"222","0.0","0.0"
"223","0.0","0.0"
"224","0.0","0.0"
"225","0.0","0.0"
"226","0.0","0.0"
"227","0.0","0.0"
"228","0.0","0.0"
"229","0.0","0.0"
"230","0.0","0.0"
"231","0.0","0.0"
"232","0.0","0.0"
"233","0.0","0.0"
"234","0.0","0.0"
"235","0.0","0.0"
"236","0.0","0.0"
"237","0.0","0.0"
"238","0.0","0.0"
"239","0.0","0.0"
"240","0.0","0.0"
"241","0.0","0.0"
"242","0.0","0.0"
"243","0.0","0.0"
"244","0.0","0.0"
"245","0.0","0.0"
"246","0.0","0.0"
"247","0.0","0.0"
"248","0.0","0.0"
"249","0.0","0.0"
"250","0.0","0.0"
"251","0.0","0.0"
"252","0.0","0.0"
"253","0.0","0.0"
"254","0.0","0.0"
"255","0.0","0.0"
"256","0.0","0.0"
"257","0.0","0.0"
"258","0.0","0.0"
"259","0.0","0.0"
"260","0.0","0.0"
"261","0.0","0.0"
"262","0.0","0.0"
"263","0.0","0.0"
"264","0.0","0.0"
"265","0.0","0.0"
"266","0.0","0.0"
"267","0.0","0.0"
"268","0.0","0.0"
"269","0.0","0.0"
"270","0.0","0.0"
"271","0.0","0.0"
"272","0.0","0.0"
"273","0.0","0.0"
"274","0.0","0.0"
"275","0.0","0.0"
"276","0.0","0.0"
"277","0.0","0.0"
"278","0.0","0.0"
"279","0.0","0.0"
"280","0.0","0.0"
"281","0.0","0.0"
"282","0.0","0.0"
"283","0.0","0.0"
"284","0.0","0.0"
"285","0.0","0.0"
"286","0.0","0.0"
"287","0.0","0.0"
"288","0.0","0.0"
"289","0.0","0.0"
"290","0.0","0.0"
"291","0.0","0.0"
"292","0.0","0.0"
"293","0.0","0.0"
"294","0.0","0.0"
"295","0.0","0.0"
"296","0.0","0.0"
"297","0.0","0.0"
"298","0.0","0.0"
"299","0.0","0.0"
"300","0.0","0.0"
"301","0.0","0.0"
"302","0.0","0.0"
"303","0.0","0.0"
"304","0.0","0.0"
"305","0.0","0.0"
"306","0.0","0.0"
"307","0.0","0.0"
