"day","Yeild","irr"
"0","0.0","0.0"
"1","0.0","0.0"
"2","0.0","0.0"
"3","0.0","0.0"
"4","0.0","0.0"
"5","0.0","0.0"
"6","0.0","0.0"
"7","0.0","37.973333333333365"
"8","0.0","37.973333333333365"
"9","0.0","37.973333333333365"
"10","0.0","37.973333333333365"
"11","0.0","37.973333333333365"
"12","0.0","37.973333333333365"
"13","0.0","37.973333333333365"
"14","0.0","37.973333333333365"
"15","0.0","37.973333333333365"
"16","0.0","37.973333333333365"
"17","0.0","37.973333333333365"
"18","0.0","37.973333333333365"
"19","0.0","37.973333333333365"
"20","0.0","37.973333333333365"
"21","0.0","72.32000000000006"
"22","0.0","75.94666666666673"
"23","0.0","75.94666666666673"
"24","0.0","75.94666666666673"
"25","0.0","75.94666666666673"
"26","0.0","75.94666666666673"
"27","0.0","75.94666666666673"
"28","0.0","75.94666666666673"
"29","0.0","75.94666666666673"
"30","0.0","113.49333333333344"
"31","0.0","113.49333333333344"
"32","0.0","113.49333333333344"
"33","9.500696383836399E-4","113.49333333333344"
"34","0.01363412862783963","113.49333333333344"
"35","0.054726623893301324","113.49333333333344"
"36","0.14116070485887855","113.49333333333344"
"37","0.2899156039109532","113.49333333333344"
"38","0.5184285383802909","113.49333333333344"
"39","0.8429886876829058","151.04000000000013"
"40","1.2807496259497537","151.04000000000013"
"41","1.8491796431773644","151.04000000000013"
"42","2.5627253623295703","151.04000000000013"
"43","3.4385919538789764","151.04000000000013"
"44","4.501503847063043","151.04000000000013"
"45","5.761518275996362","151.04000000000013"
"46","7.25484445597728","151.04000000000013"
"47","8.966718210602963","151.04000000000013"
"48","10.936900333630774","189.0133333333335"
"49","13.1641250091546","189.0133333333335"
"50","15.674803641516348","189.0133333333335"
"51","18.505351722488797","189.0133333333335"
"52","21.653549562047292","189.0133333333335"
"53","25.117290667950023","189.0133333333335"
"54","28.936809121506595","189.0133333333335"
"55","33.13659525861527","226.5600000000002"
"56","37.73392893034657","226.5600000000002"
"57","42.72979462211142","226.5600000000002"
"58","48.12898908395317","226.5600000000002"
"59","53.94610944121466","226.5600000000002"
"60","60.18971085112036","226.5600000000002"
"61","66.90623130533426","264.1066666666667"
"62","74.12011993833518","264.1066666666667"
"63","81.84640726420832","264.1066666666667"
"64","90.09913064360809","264.1066666666667"
"65","98.87787046985345","264.1066666666667"
"66","108.2209245138519","264.1066666666667"
"67","118.12723495871339","264.1066666666667"
"68","128.59662618411576","264.1066666666667"
"69","139.65048972909997","264.1066666666667"
"70","151.3669564276232","301.6533333333325"
"71","163.85931649174987","301.6533333333325"
"72","176.78450106038127","301.6533333333325"
"73","190.41428838984888","301.6533333333325"
"74","204.77773433353605","301.6533333333325"
"75","219.79852317193073","301.6533333333325"
"76","235.54356889728","301.6533333333325"
"77","252.05380377866578","301.6533333333325"
"78","269.22924930221984","301.6533333333325"
"79","287.30637509425134","301.6533333333325"
"80","306.16288916531363","321.91999999999877"
"81","325.6446626910112","339.6266666666651"
"82","345.45452182571097","339.6266666666651"
"83","365.23181411782144","339.6266666666651"
"84","387.3179462892145","339.6266666666651"
"85","410.21465822883926","339.6266666666651"
"86","433.8260546299711","339.6266666666651"
"87","458.5879425035891","339.6266666666651"
"88","484.1634672644747","339.6266666666651"
"89","510.68407168824746","339.6266666666651"
"90","538.1606899156399","339.6266666666651"
"91","566.542283110633","339.6266666666651"
"92","595.884730182952","339.6266666666651"
"93","625.9556694561215","339.6266666666651"
"94","657.1504192665802","339.6266666666651"
"95","689.257176294882","339.6266666666651"
"96","721.0928874745982","339.6266666666651"
"97","750.8809698194099","339.6266666666651"
"98","780.9843331421498","339.6266666666651"
"99","814.3130500671405","339.6266666666651"
"100","850.2405535743754","339.6266666666651"
"101","887.8876365682808","376.9599999999976"
"102","926.7668901542365","377.1733333333309"
"103","966.7011330164798","377.1733333333309"
"104","1007.6316935584493","377.1733333333309"
"105","1050.1822756417644","377.1733333333309"
"106","1093.7917759167326","377.1733333333309"
"107","1137.3286678324525","377.1733333333309"
"108","1177.4414044836378","377.1733333333309"
"109","1212.4642829998088","377.1733333333309"
"110","1251.256275373136","377.1733333333309"
"111","1292.5875741483958","377.1733333333309"
"112","1335.3153805959723","377.1733333333309"
"113","1381.046442739907","377.1733333333309"
"114","1428.0030140317986","377.1733333333309"
"115","1476.9450283453536","377.1733333333309"
"116","1529.6123813059378","377.1733333333309"
"117","1585.670192035304","377.1733333333309"
"118","1644.8811739114483","414.71999999999673"
"119","1705.2317523266952","414.71999999999673"
"120","1767.4855411947162","414.71999999999673"
"121","1830.7597822007358","414.71999999999673"
"122","1890.3862694313586","414.71999999999673"
"123","1942.8919372873559","414.71999999999673"
"124","1984.784964373868","414.71999999999673"
"125","2034.4189798210477","414.71999999999673"
"126","2090.4594187739704","414.71999999999673"
"127","2144.381499244452","414.71999999999673"
"128","2193.5651002707345","414.71999999999673"
"129","2249.8880316477594","414.71999999999673"
"130","2313.225336645794","414.71999999999673"
"131","2378.2983304786926","414.71999999999673"
"132","2443.203700026495","414.71999999999673"
"133","2507.8230478869386","414.71999999999673"
"134","2574.9169976976586","414.71999999999673"
"135","2644.05456433224","414.71999999999673"
"136","2711.7434446081393","414.71999999999673"
"137","2769.7588119652323","414.71999999999673"
"138","2828.3246849617544","414.71999999999673"
"139","2892.7680901908525","414.71999999999673"
"140","2952.17749700547","414.71999999999673"
"141","3007.4268205491862","414.71999999999673"
"142","3073.1864378500886","414.71999999999673"
"143","3158.4205900964303","414.71999999999673"
"144","3253.3332118930366","414.71999999999673"
"145","3353.253503920967","414.71999999999673"
"146","3455.2990842767545","414.71999999999673"
"147","3560.176795695441","414.71999999999673"
"148","3667.668624719564","414.71999999999673"
"149","3777.9059989367624","414.71999999999673"
"150","3890.420535318143","414.71999999999673"
"151","4004.8786637161274","414.71999999999673"
"152","4121.6472320739595","414.71999999999673"
"153","4240.856927335002","414.71999999999673"
"154","4361.479119763036","414.71999999999673"
"155","4482.458350973394","414.71999999999673"
"156","4603.129724801488","414.71999999999673"
"157","4724.337657344175","414.71999999999673"
"158","4845.730506841175","414.71999999999673"
"159","4966.739121439119","414.71999999999673"
"160","5087.961101892011","414.71999999999673"
"161","5209.942842696817","414.71999999999673"
"162","5331.9073502948295","452.26666666666256"
"163","5452.370799587939","452.26666666666256"
"164","5571.154658869327","452.26666666666256"
"165","5690.609616888485","452.26666666666256"
"166","5810.736824344927","452.26666666666256"
"167","5930.878245884198","452.26666666666256"
"168","6052.0796494891265","452.26666666666256"
"169","6173.235481162948","452.26666666666256"
"170","6295.815297526961","452.26666666666256"
"171","6418.587037858349","452.26666666666256"
"172","6542.629393916513","452.26666666666256"
"173","6666.262015723566","452.26666666666256"
"174","6789.132834539782","452.26666666666256"
"175","6911.05408113932","452.26666666666256"
"176","7032.904606601557","490.2399999999951"
"177","7155.3559006705655","490.2399999999951"
"178","7278.363822446363","490.2399999999951"
"179","7402.154572294594","490.2399999999951"
"180","7526.097813280191","490.2399999999951"
"181","7650.6485587655125","490.2399999999951"
"182","7774.681545300843","490.2399999999951"
"183","7898.281487204678","490.2399999999951"
"184","8020.60323996838","490.2399999999951"
"185","8142.646185517356","528.2133333333278"
"186","8264.47408467435","528.2133333333278"
"187","8384.1328449937","528.2133333333278"
"188","8501.306612863647","528.2133333333278"
"189","8616.224771853807","528.2133333333278"
"190","8728.60509906515","528.2133333333278"
"191","8839.995589117745","528.2133333333278"
"192","8951.22751367769","528.2133333333278"
"193","9061.42774084182","528.2133333333278"
"194","9169.867012109285","528.2133333333278"
"195","9276.02968660035","528.2133333333278"
"196","9381.445087825792","528.2133333333278"
"197","9487.484862452502","528.2133333333278"
"198","9595.076175454778","528.2133333333278"
"199","9704.336213927909","528.2133333333278"
"200","9814.372245931767","528.2133333333278"
"201","9923.405804465045","528.2133333333278"
"202","10031.046977996088","528.2133333333278"
"203","10138.2350146247","528.2133333333278"
"204","10245.584441651064","528.2133333333278"
"205","10352.245036430391","528.2133333333278"
"206","10456.952458762627","528.2133333333278"
"207","10561.656660331433","528.2133333333278"
"208","10666.87188711219","528.2133333333278"
"209","10773.358380156578","528.2133333333278"
"210","10881.028092168559","528.2133333333278"
"211","10989.489254613118","528.2133333333278"
"212","11097.337114358797","528.2133333333278"
"213","11203.239992753883","528.2133333333278"
"214","11308.548781201189","528.2133333333278"
"215","11413.691469958736","528.2133333333278"
"216","11518.923902635648","528.2133333333278"
"217","11623.71772469373","528.2133333333278"
"218","11727.920696433248","528.2133333333278"
